"source_settlement_raw","normalized_settlement","municipality","region","location_kind","is_ignored","ignore_reason","mapping_source","mapping_confidence","review_status","review_notes","updated_at"
"כפר מימון ותושיה","כפר מימון ותושיה","מועצה אזורית שדות נגב","נגב","settlement","FALSE","","manual_research_2026_03_30","high","pending","כפר מימון ותושיה במועצה אזורית שדות נגב - נגב","2026-03-30T12:00:00+03:00"
"לב החולה","לב החולה","מועצה אזורית מרום הגליל","גליל עליון","settlement","FALSE","","manual_research_2026_03_30","high","pending","מתחם לב החולה באזור המנפטה בעמק החולה - גליל עליון","2026-03-30T12:00:00+03:00"
"לוטם וחמדון","לוטם וחמדון","מועצה אזורית מרום הגליל","גליל עליון","settlement","FALSE","","manual_research_2026_03_30","high","pending","לוטם וחמדון ישובים במועצה אזורית מרום הגליל - גליל עליון","2026-03-30T12:00:00+03:00"
"מגרון","מגרון","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","high","pending","מגרון ישוב בהרי בנימין - מועצה אזורית מטה בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"מועאוויה","מועאוויה","מועצה אזורית הגלבוע","גלבוע","settlement","FALSE","","manual_research_2026_03_30","high","pending","מועאוויה כפר ערבי בגלבוע - מועצה אזורית הגלבוע","2026-03-30T12:00:00+03:00"
"מוקיבלה","מוקיבלה","מועצה אזורית מגידו","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","מוקיבלה כפר ערבי בעמק יזרעאל - מועצה אזורית מגידו","2026-03-30T12:00:00+03:00"
"מיצד","מיצד","מועצה אזורית הר חברון","הר חברון","settlement","FALSE","","manual_research_2026_03_30","high","pending","מיצד ישוב בהר חברון - מועצה אזורית הר חברון","2026-03-30T12:00:00+03:00"
"מכינת אלישע","מכינת אלישע","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","high","pending","מכינת אלישע מכינה קדם-צבאית ליד נווה צוף - מטה בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"מנחת מחניים","מנחת מחניים","מועצה אזורית מרום הגליל","גליל עליון","settlement","FALSE","","manual_research_2026_03_30","high","pending","נמל תעופה מחניים בעמק החולה - גליל עליון","2026-03-30T12:00:00+03:00"
"מע'אר","מע'אר","מועצה אזורית גליל תחתון","גליל","settlement","FALSE","","manual_research_2026_03_30","high","pending","מע'אר כפר ערבי בגליל התחתון","2026-03-30T12:00:00+03:00"
"מצוקי דרגות","מצוקי דרגות","מועצה אזורית מגילות ים המלח","ערבה","settlement","FALSE","","manual_research_2026_03_30","high","pending","מצוקי דרגות בצוקי ים המלח הצפוני - מגילות [תוקן: מגילות->ערבה]","2026-03-30T12:00:00+03:00"
"מרחביה מושב","מרחביה מושב","מועצה אזורית עמק יזרעאל","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","מרחביה מושב בעמק יזרעאל","2026-03-30T12:00:00+03:00"
"מרחביה קיבוץ","מרחביה קיבוץ","מועצה אזורית עמק יזרעאל","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","מרחביה קיבוץ בעמק יזרעאל","2026-03-30T12:00:00+03:00"
"מרכז אזורי מגילות","מרכז אזורי מגילות","מועצה אזורית מגילות ים המלח","ערבה","settlement","FALSE","","manual_research_2026_03_30","high","pending","מרכז אזורי של מועצת מגילות ים המלח - ים המלח [תוקן: מגילות->ערבה]","2026-03-30T12:00:00+03:00"
"מרכז אזורי מרום גליל","מרכז אזורי מרום גליל","מועצה אזורית מרום הגליל","גליל עליון","settlement","FALSE","","manual_research_2026_03_30","high","pending","מרכז אזורי של מועצת מרום הגליל - גליל עליון","2026-03-30T12:00:00+03:00"
"מרכז אזורי רמת כורזים","מרכז אזורי רמת כורזים","מועצה אזורית מבואות החרמון","גליל עליון","settlement","FALSE","","manual_research_2026_03_30","high","pending","מרכז אזורי ברמת כורזים בגליל העליון","2026-03-30T12:00:00+03:00"
"מרכז חבר","מרכז חבר","מועצה אזורית הגלבוע","גלבוע","settlement","FALSE","","manual_research_2026_03_30","high","pending","מרכז חבר ישוב במועצה אזורית הגלבוע - גלבוע","2026-03-30T12:00:00+03:00"
"מרכז מיר''ב","מרכז מיר''ב","מועצה אזורית עמק המעיינות","גלבוע","settlement","FALSE","","manual_research_2026_03_30","high","pending","מרכז מירב בקרבת קיבוץ מירב - עמק המעיינות - גלבוע","2026-03-30T12:00:00+03:00"
"מתחם סקי גלבוע","מתחם סקי גלבוע","מועצה אזורית הגלבוע","גלבוע","settlement","FALSE","","manual_research_2026_03_30","high","pending","מתחם סקי גלבוע בהר הגלבוע - גלבוע","2026-03-30T12:00:00+03:00"
"מתחם שביל התפוזים","מתחם שביל התפוזים","מועצה אזורית חוף השרון","שרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","מתחם שביל התפוזים בחוף השרון","2026-03-30T12:00:00+03:00"
"נוה איתן","נוה איתן","מועצה אזורית הגלבוע","גלבוע","settlement","FALSE","","manual_research_2026_03_30","high","pending","נווה איתן קיבוץ במועצה אזורית הגלבוע - גלבוע","2026-03-30T12:00:00+03:00"
"נופי פרת","נופי פרת","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","high","pending","נופי פרת ישוב קהילתי במזרח בנימין - מטה בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"נמל קיסריה","נמל קיסריה","קיסריה","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","נמל קיסריה בחוף השרון - קיסריה","2026-03-30T12:00:00+03:00"
"סואעד חמירה","סואעד חמירה","מועצה אזורית גליל תחתון","גליל","settlement","FALSE","","manual_research_2026_03_30","high","pending","סואעד חמירה כפר ערבי בגליל התחתון","2026-03-30T12:00:00+03:00"
"סנדלה","סנדלה","מועצה אזורית הגלבוע","גלבוע","settlement","FALSE","","manual_research_2026_03_30","high","pending","סנדלה כפר ערבי בגלבוע - מועצה אזורית הגלבוע","2026-03-30T12:00:00+03:00"
"עוז וגאון","עוז וגאון","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","עוז וגאון ישוב/מאחז בשומרון","2026-03-30T12:00:00+03:00"
"עין אל סהלה","עין אל סהלה","מועצה אזורית גליל תחתון","גליל","settlement","FALSE","","manual_research_2026_03_30","high","pending","עין אל סהלה כפר ערבי בגליל התחתון","2026-03-30T12:00:00+03:00"
"פוריה כפר עבודה","פוריה כפר עבודה","מועצה אזורית עמק הירדן","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","פוריה כפר עבודה על כביש טבריה - כינרת [תוקן: עמק הירדן->עמקים]","2026-03-30T12:00:00+03:00"
"פוריה נווה עובד","פוריה נווה עובד","מועצה אזורית עמק הירדן","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","פוריה נווה עובד על כביש טבריה - כינרת [תוקן: עמק הירדן->עמקים]","2026-03-30T12:00:00+03:00"
"פוריה עילית","פוריה עילית","מועצה אזורית עמק הירדן","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","פוריה עילית על כביש טבריה - כינרת [תוקן: עמק הירדן->עמקים]","2026-03-30T12:00:00+03:00"
"פנימיית עין כרם","פנימיית עין כרם","ירושלים","ירושלים","settlement","FALSE","","manual_research_2026_03_30","high","pending","פנימייה בשכונת עין כרם בירושלים","2026-03-30T12:00:00+03:00"
"צומת אלמוג","צומת אלמוג","מועצה אזורית מגילות ים המלח","ערבה","settlement","FALSE","","manual_research_2026_03_30","high","pending","צומת אלמוג בצפון ים המלח - מגילות ים המלח [תוקן: מגילות->ערבה]","2026-03-30T12:00:00+03:00"
"צורית גילון","צורית גילון","מועצה אזורית משגב","גליל","settlement","FALSE","","manual_research_2026_03_30","high","pending","צורית ישוב על הר גילון - מועצה אזורית משגב","2026-03-30T12:00:00+03:00"
"קבוצת גבע","קבוצת גבע","מועצה אזורית עמק יזרעאל","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","קבוצת גבע קיבוץ בעמק יזרעאל","2026-03-30T12:00:00+03:00"
"קדיתא","קדיתא","מועצה אזורית מרום הגליל","גליל עליון","settlement","FALSE","","manual_research_2026_03_30","high","pending","קדיתא ישוב במועצה אזורית מרום הגליל - גליל עליון","2026-03-30T12:00:00+03:00"
"קדם ערבה","קדם ערבה","מועצה אזורית מגילות ים המלח","ערבה","settlement","FALSE","","manual_research_2026_03_30","high","pending","קדם ערבה ישוב קהילתי בצפון ים המלח - מגילות ים המלח [תוקן: מגילות->ערבה]","2026-03-30T12:00:00+03:00"
"קיבוץ מגידו","קיבוץ מגידו","מועצה אזורית מגידו","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","קיבוץ מגידו בעמק יזרעאל - מועצה אזורית מגידו","2026-03-30T12:00:00+03:00"
"שאנטי במדבר","שאנטי במדבר","מועצה אזורית רמת נגב","נגב","settlement","FALSE","","manual_research_2026_03_30","high","pending","שאנטי במדבר כפר נוער ליד שדה בוקר - רמת הנגב","2026-03-30T12:00:00+03:00"
"שיבלי אום אלג'נם","שיבלי אום אלג'נם","מועצה אזורית הגלבוע","גלבוע","settlement","FALSE","","manual_research_2026_03_30","high","pending","שיבלי-אום אלג'נם כפר ערבי בגלבוע","2026-03-30T12:00:00+03:00"
"שני ליבנה","שני ליבנה","מועצה אזורית עוטף עזה","עוטף עזה","settlement","FALSE","","manual_research_2026_03_30","medium","pending","שני ליבנה ישוב בעוטף עזה","2026-03-30T12:00:00+03:00"
"תחנת רכבת כפר ברוך","תחנת רכבת כפר ברוך","מועצה אזורית עמק יזרעאל","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","תחנת הרכבת ליד כפר ברוך בעמק יזרעאל","2026-03-30T12:00:00+03:00"
"תחנת רכבת כפר יהושוע","תחנת רכבת כפר יהושוע","מועצה אזורית עמק יזרעאל","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","תחנת הרכבת ליד כפר יהושוע בעמק יזרעאל","2026-03-30T12:00:00+03:00"
"תקוע ד' וה'","תקוע ד' וה'","מועצה אזורית גוש עציון","ירושלים","settlement","FALSE","","manual_research_2026_03_30","high","pending","שכונות תקוע ד' וה' ביישוב תקוע - גוש עציון - הר חברון [תוקן: גוש עציון->ירושלים]","2026-03-30T12:00:00+03:00"
